Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,622.5,622.5,622.5,622.5,279.100189,0.0
2000-01-04,607.0,607.0,590.0,596.0,267.218536,40348880.0
2000-01-05,597.5,608.0,583.0,596.0,267.218536,28571116.0
2000-01-06,598.0,607.0,587.0,602.0,269.908813,22156052.0
2000-01-07,605.0,613.799988,586.5,597.0,267.666992,41984936.0
2000-01-10,588.5,606.0,574.5,579.5,259.820862,37794644.0
2000-01-11,579.5,585.0,561.0,569.5,255.33728,34813720.0
2000-01-12,573.5,584.0,566.0,570.0,255.561371,30594150.0
2000-01-13,574.5,581.0,555.0,570.5,255.785614,43095676.0
2000-01-14,577.0,578.5,550.0,553.0,247.939301,65143312.0
2000-01-17,553.0,562.0,546.5,550.5,246.818466,32402000.0
2000-01-18,552.5,574.5,549.0,556.0,249.284592,40240612.0
2000-01-19,565.0,572.799988,554.0,562.5,252.198746,44246508.0
2000-01-20,566.900024,569.0,536.5,543.0,243.455917,32954232.0
2000-01-21,552.5,579.0,545.5,562.5,252.198746,44939468.0
2000-01-24,563.700012,592.5,555.0,576.0,258.251587,24470320.0
2000-01-25,568.5,572.0,550.0,561.0,251.526199,20941718.0
2000-01-26,561.0,564.5,540.5,555.0,248.836166,32838588.0
2000-01-27,548.799988,568.0,548.799988,556.0,249.284592,21384432.0
2000-01-28,557.0,564.5,543.0,555.5,249.060257,23182232.0
2000-01-31,554.5,561.0,539.0,544.0,243.904251,22623496.0
2000-02-01,550.799988,563.5,536.5,546.0,244.80098,25129392.0
2000-02-02,548.0,548.0,548.0,548.0,245.697678,39929784.0
2000-02-03,545.0,528.0,504.0,525.5,235.609695,166635504.0
2000-02-04,503.5,503.5,503.5,503.5,225.746002,64999616.0
2000-02-07,510.0,510.0,493.0,498.0,223.279984,96758456.0
2000-02-08,498.0,508.0,488.0,495.5,222.159073,79210392.0
2000-02-09,466.0,466.0,466.0,466.0,208.932739,57681280.0
2000-02-10,487.5,487.5,487.5,487.5,218.572327,68482176.0
2000-02-11,487.5,495.0,460.0,479.5,214.985382,75311928.0
2000-02-14,489.0,489.0,464.0,481.5,215.882248,35680052.0
2000-02-15,474.0,474.0,474.0,474.0,212.519547,62915520.0
2000-02-16,510.5,510.5,510.5,510.5,228.884384,56586520.0
2000-02-17,493.700012,528.0,498.0,506.5,227.090973,44068156.0
2000-02-18,486.0,486.0,486.0,486.0,217.899719,22898008.0
2000-02-21,468.5,468.5,468.5,468.5,210.053635,24859272.0
2000-02-22,446.0,446.0,446.0,446.0,199.965622,38664624.0
2000-02-23,454.0,464.0,446.799988,458.5,207.00885,59050376.0
2000-02-24,444.5,444.5,444.5,444.5,200.688019,33911156.0
2000-02-25,447.0,464.0,445.0,462.0,208.589172,33820636.0
2000-02-28,463.0,474.5,445.0,461.5,208.363342,26872200.0
2000-02-29,465.5,497.0,465.5,487.5,220.102203,48501060.0
2000-03-01,487.0,487.0,487.0,487.0,219.87648,38985456.0
2000-03-02,495.799988,507.0,483.5,501.5,226.423004,29665120.0
2000-03-03,506.0,507.0,492.0,494.0,223.036835,26516540.0
2000-03-06,495.5,501.0,483.0,493.5,222.81105,20838890.0
2000-03-07,493.5,509.0,489.0,505.5,228.229034,40686592.0
2000-03-08,554.5,554.5,554.5,554.5,250.352051,136769312.0
2000-03-09,551.0,557.0,535.0,550.5,248.546082,33271990.0
2000-03-10,544.200012,562.0,544.0,552.0,249.223297,52899732.0
2000-03-13,550.0,556.0,538.0,549.0,247.868881,33347864.0
2000-03-14,549.700012,553.0,534.0,536.5,242.225159,27400940.0
2000-03-15,537.0,571.5,537.0,554.0,250.126373,84941584.0
2000-03-16,577.0,585.0,564.0,568.0,256.447205,68601312.0
2000-03-17,567.0,575.0,547.0,554.0,250.126373,44108876.0
2000-03-20,554.0,564.0,540.0,542.5,244.934143,23784692.0
2000-03-21,541.799988,558.0,531.0,548.5,247.643112,39475624.0
2000-03-22,547.400024,555.0,540.5,550.0,248.320404,37719152.0
2000-03-23,553.400024,553.400024,533.0,535.0,241.548004,24090596.0
2000-03-24,544.299988,548.0,532.5,541.5,244.482651,50410252.0
2000-03-27,536.0,536.0,510.0,512.5,231.389511,22240386.0
2000-03-28,515.900024,531.0,512.0,514.5,232.292496,16508125.0
2000-03-29,510.0,525.0,505.799988,522.5,235.904312,35920492.0
2000-03-30,538.0,549.5,532.0,542.0,244.708389,48098072.0
2000-03-31,548.5,587.0,548.5,573.5,258.93042,70493504.0
2000-04-03,567.5,573.5,545.0,557.0,251.480759,40131136.0
2000-04-04,557.0,575.0,551.0,554.0,250.126373,60556400.0
2000-04-05,547.5,547.5,547.5,547.5,247.19165,24000.0
2000-04-06,549.0,556.5,532.0,551.0,248.771835,36392000.0
2000-04-07,551.0,558.0,540.0,545.0,246.063019,28012618.0
