Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,118.5,118.5,118.5,118.5,70.897171,0.0
2000-01-04,117.0,119.25,117.0,118.5,70.897171,0.0
2000-01-05,117.0,120.0,115.0,117.5,70.298889,0.0
2000-01-06,116.0,117.5,114.5,116.5,69.700584,0.0
2000-01-07,115.0,117.25,115.0,116.0,69.401451,0.0
2000-01-10,115.0,118.57,115.0,118.0,70.598015,0.0
2000-01-11,117.0,121.0,117.0,119.0,71.196304,0.0
2000-01-12,118.0,121.0,117.0,119.0,71.196304,2272670.0
2000-01-13,118.0,119.0,117.0,119.0,71.196304,0.0
2000-01-14,118.0,119.0,117.0,119.0,71.196304,360910.0
2000-01-17,117.0,121.0,117.0,119.0,71.196304,0.0
2000-01-18,118.0,120.0,117.0,119.0,71.196304,0.0
2000-01-19,118.75,120.5,118.0,119.5,71.495461,0.0
2000-01-20,118.5,120.5,114.0,119.0,71.196304,0.0
2000-01-21,118.0,120.0,116.0,118.0,70.598015,249800.0
2000-01-24,115.0,117.5,115.0,117.5,70.298889,0.0
2000-01-25,116.0,119.0,115.0,117.0,69.999748,0.0
2000-01-26,116.0,119.0,113.0,115.0,68.803162,0.0
2000-01-27,116.5,116.5,113.0,115.0,68.803162,0.0
2000-01-28,113.0,115.0,113.0,115.0,68.803162,0.0
2000-01-31,116.0,118.0,114.0,116.5,69.700584,0.0
2000-02-01,117.25,118.0,114.0,116.0,69.401451,0.0
2000-02-02,116.25,117.0,110.0,111.5,66.70916,0.0
2000-02-03,110.5,114.25,110.0,113.5,67.905731,0.0
2000-02-04,114.25,115.0,110.0,113.5,67.905731,5255941.0
2000-02-07,114.5,114.5,110.0,112.5,67.307442,0.0
2000-02-08,112.5,115.0,110.0,112.5,67.307442,2829455.0
2000-02-09,114.0,115.0,109.0,112.5,67.307442,1266528.0
2000-02-10,110.75,112.5,110.0,111.5,66.70916,0.0
2000-02-11,110.0,113.0,110.0,111.5,66.70916,0.0
2000-02-14,110.0,111.0,105.0,111.0,66.410019,0.0
