Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,136.0,143.0,136.0,143.0,124.275879,4645894.0
2003-01-03,146.25,148.75,142.0,145.0,126.014008,4085260.0
2003-01-06,140.25,144.5,135.75,144.25,125.362206,8031430.0
2003-01-07,143.25,144.0,135.0,138.0,119.930573,6085123.0
2003-01-08,139.0,140.0,131.0,136.25,118.409714,4450954.0
2003-01-09,133.0,139.5,132.25,138.5,120.365089,5170888.0
2003-01-10,132.25,141.0,131.5,140.0,121.668686,9729682.0
2003-01-13,138.048004,138.5,133.25,134.0,116.454308,5362024.0
2003-01-14,134.25,138.0,133.0,138.0,119.930573,7499252.0
2003-01-15,135.296997,140.75,134.0,136.0,118.192436,7704758.0
2003-01-16,134.0,139.0,131.0,137.25,119.278763,5190648.0
2003-01-17,135.0,136.5,130.25,130.5,113.412605,8252807.0
2003-01-20,132.5,132.5,125.0,128.0,111.239952,3512148.0
2003-01-21,128.0,130.5,123.0,127.25,110.588142,6016891.0
2003-01-22,125.0,125.0,118.0,121.25,105.373779,10142998.0
2003-01-23,122.5,122.5,114.25,117.75,102.332054,5032327.0
2003-01-24,118.0,121.5,114.0,115.25,100.159416,6800506.0
2003-01-27,115.25,115.5,107.5,112.0,97.334953,12334676.0
2003-01-28,112.75,115.25,108.5,110.0,95.596832,7535311.0
2003-01-29,107.25,109.5,100.0,105.25,91.468788,11652292.0
2003-01-30,106.0,118.25,106.0,116.0,100.811211,15177179.0
2003-01-31,111.25,114.75,111.0,114.25,99.290344,6466875.0
2003-02-03,114.25,121.25,114.25,119.75,104.070175,7345427.0
2003-02-04,116.0,119.0,112.25,114.0,99.073074,7717312.0
2003-02-05,112.0,117.5,110.25,117.5,102.114792,7936303.0
2003-02-06,114.25,119.0,113.75,114.5,99.507599,6533651.0
2003-02-07,113.5,117.0,112.0,116.25,101.028465,8317885.0
2003-02-10,116.5,118.0,110.0,112.0,97.334953,8169229.0
2003-02-11,111.0,118.75,111.0,118.0,102.549332,5767094.0
2003-02-12,117.0,117.0,111.25,112.75,97.986748,6838901.0
2003-02-13,112.75,114.0,108.0,111.0,96.465897,9085611.0
2003-02-14,108.5,112.5,107.25,109.75,95.379562,8958980.0
2003-02-17,114.0,114.5,110.75,114.25,99.290344,5780366.0
2003-02-18,114.25,120.5,112.0,115.75,100.593941,8911408.0
2003-02-19,112.75,116.75,112.75,115.5,100.376663,5843285.0
2003-02-20,114.5,117.5,112.75,113.0,98.204018,6175339.0
2003-02-21,113.0,114.0,110.0,112.75,97.986748,5774198.0
2003-02-24,111.5,112.25,110.0,110.5,96.031357,7456479.0
2003-02-25,110.0,111.0,102.0,103.0,89.51339,8925637.0
2003-02-26,104.75,106.5,99.75,101.25,87.992538,8824715.0
2003-02-27,102.25,106.25,100.75,103.5,89.947922,6423613.0
2003-02-28,104.25,105.5,100.0,104.25,90.599724,6958434.0
2003-03-03,105.75,107.0,103.5,104.75,91.034256,7653668.0
2003-03-04,105.0,105.0,101.0,101.5,88.209801,6244775.0
2003-03-05,99.5,102.0,95.0,96.25,83.647224,11785474.0
2003-03-06,97.0,98.75,95.0,97.75,84.950821,9653489.0
2003-03-07,97.0,97.25,93.5,94.75,82.343636,5095317.0
2003-03-10,96.5,98.5,94.5,95.0,82.560898,7700976.0
2003-03-11,94.0,96.0,89.0,91.0,79.084656,8643922.0
2003-03-12,93.5,93.5,85.0,86.0,74.739342,10824039.0
2003-03-13,89.0,95.75,87.75,93.25,81.040039,9279758.0
2003-03-14,96.0,103.0,95.5,102.5,89.078873,8235101.0
2003-03-17,97.25,112.5,96.25,109.75,95.379562,11942150.0
2003-03-18,109.0,126.75,109.0,117.5,102.114792,26462161.0
2003-03-19,117.5,120.75,110.0,118.75,103.201126,8934524.0
2003-03-20,119.75,120.5,113.5,116.5,101.24572,5324477.0
2003-03-21,116.0,126.5,116.0,125.0,108.632751,17153308.0
2003-03-24,125.0,125.0,118.0,118.5,102.983856,8841910.0
2003-03-25,118.5,124.5,111.5,122.0,106.025574,7441376.0
2003-03-26,120.75,120.75,116.25,118.0,102.549332,6331636.0
2003-03-27,117.0,117.0,112.25,112.5,97.769478,4716544.0
2003-03-28,113.75,113.75,105.0,108.5,94.293236,5789581.0
2003-03-31,108.0,108.0,101.0,104.0,90.382446,5356063.0
2003-04-01,104.0,110.0,102.0,105.5,91.686058,4989733.0
2003-04-02,105.5,117.75,105.5,114.5,99.507599,10055052.0
2003-04-03,115.5,116.5,105.0,110.25,95.814095,13057873.0
2003-04-04,110.25,117.5,110.25,115.75,100.593941,4925250.0
2003-04-07,115.0,125.5,115.0,124.25,107.980957,6428939.0
2003-04-08,120.0,124.25,119.75,121.0,105.156517,9452144.0
2003-04-09,118.25,119.0,114.5,115.25,100.159416,9582543.0
2003-04-10,114.0,118.0,112.75,115.5,100.376663,5590704.0
2003-04-11,116.0,118.75,115.5,116.75,101.462997,3755090.0
2003-04-14,118.0,119.25,115.5,117.25,101.89753,3702037.0
2003-04-15,121.0,124.75,119.0,124.0,107.763702,5096109.0
2003-04-16,124.75,130.0,121.0,122.25,106.242844,13197361.0
2003-04-17,121.5,121.5,118.75,120.25,104.504715,4744769.0
2003-04-18,,,,,,
2003-04-21,,,,,,
2003-04-22,117.0,120.25,117.0,120.0,104.287453,5699072.0
2003-04-23,120.5,127.0,120.5,125.25,108.850029,8177322.0
2003-04-24,123.0,123.5,117.5,118.5,102.983856,7491934.0
2003-04-25,117.75,119.0,115.5,116.5,101.24572,5626708.0
2003-04-28,116.5,123.0,115.0,122.0,106.025574,5709333.0
2003-04-29,121.0,128.0,120.0,122.0,106.025574,5008736.0
2003-04-30,123.5,126.75,120.0,126.5,109.936356,9156212.0
2003-05-01,126.5,127.0,122.0,124.5,108.198227,3531459.0
2003-05-02,125.0,136.75,125.0,135.0,117.32338,12332935.0
2003-05-05,,,,,,
2003-05-06,134.5,148.5,133.25,148.0,128.621201,15396273.0
2003-05-07,149.0,149.0,141.5,144.0,125.144928,9518434.0
2003-05-08,144.0,144.0,134.0,136.25,118.409714,10629153.0
2003-05-09,137.5,138.75,133.0,136.25,118.409714,6373878.0
2003-05-12,136.25,139.0,132.5,138.5,120.365089,4194902.0
2003-05-13,138.5,138.5,132.5,136.5,118.626976,4359717.0
2003-05-14,135.75,140.0,133.0,137.5,119.496033,5187352.0
2003-05-15,137.5,141.5,137.5,140.0,121.668686,2716403.0
2003-05-16,138.0,143.75,138.0,143.25,124.493134,3567610.0
2003-05-19,140.0,143.25,134.0,137.5,119.496033,4868368.0
2003-05-20,136.25,136.5,131.25,133.0,115.585258,5291269.0
2003-05-21,133.5,134.0,122.25,123.5,107.329163,8585335.0
2003-05-22,122.25,131.25,122.25,131.25,114.064384,6487665.0
2003-05-23,131.0,133.0,127.0,128.0,111.239952,4128419.0
2003-05-26,,,,,,
2003-05-27,127.0,132.0,125.75,130.0,112.978065,5475015.0
2003-05-28,130.0,134.75,129.0,133.0,115.585258,3598233.0
2003-05-29,133.0,139.25,132.0,138.0,119.930573,5085024.0
2003-05-30,137.5,148.0,135.0,140.75,122.320488,10969114.0
2003-06-02,144.0,149.75,142.75,147.0,127.752121,7517221.0
2003-06-03,143.0,147.25,142.0,145.25,126.23127,7934337.0
2003-06-04,142.25,153.0,142.25,150.0,130.359299,10334691.0
