Date,Open,High,Low,Close,Adj Close,Volume
2014-04-03,285.0,297.959991,186.884003,283.0,283.0,86797556
2014-04-04,287.0,293.0,271.230988,290.75,290.75,8106044
2014-04-07,291.0,291.0,262.5,264.0,264.0,4457955
2014-04-08,269.75,285.89801,237.5,250.0,250.0,10865575
2014-04-09,245.0,268.0,244.0,259.0,259.0,3049255
2014-04-10,257.5,265.092987,250.0,250.0,250.0,927790
2014-04-11,247.5,247.5,230.0,234.75,234.75,5832246
2014-04-14,235.0,235.0,225.0,225.0,225.0,5597793
2014-04-15,231.0,231.0,225.0,225.0,225.0,3314602
2014-04-16,230.0,233.690002,226.0,227.0,227.0,323878
2014-04-17,229.25,233.0,228.509995,233.0,233.0,1024551
2014-04-22,233.0,246.0,232.25,240.0,240.0,664519
2014-04-23,250.0,255.0,238.899994,240.0,240.0,734347
2014-04-24,240.25,244.0,235.0,235.0,235.0,1387908
2014-04-25,235.0,239.75,233.0,233.0,233.0,1364367
2014-04-28,235.0,236.75,224.0,225.0,225.0,954626
2014-04-29,230.0,232.975006,218.0,222.5,222.5,2048578
2014-04-30,225.0,226.0,214.75,214.75,214.75,2486480
2014-05-01,218.0,221.0,208.5,219.0,219.0,2781118
2014-05-02,222.0,227.75,215.0,220.0,220.0,3002698
2014-05-06,220.0,234.75,220.0,230.0,230.0,258954
2014-05-07,234.25,235.0,228.25,228.25,228.25,337074
2014-05-08,225.75,233.75,225.0,227.25,227.25,129958
2014-05-09,222.5,227.690002,215.0,215.0,215.0,977990
2014-05-12,220.0,220.75,212.5,214.0,214.0,860539
2014-05-13,213.0,219.5,213.0,217.0,217.0,1270475
2014-05-14,231.0,239.25,225.5,229.75,229.75,828510
2014-05-15,227.5,232.0,223.488007,223.5,223.5,192148
2014-05-16,225.0,226.0,209.5,211.75,211.75,1203925
2014-05-19,209.0,214.0,195.25,197.0,197.0,4196669
2014-05-20,196.0,201.75,196.0,199.75,199.75,1434572
2014-05-21,200.5,209.25,199.25,204.75,204.75,1555989
2014-05-22,207.5,222.0,207.0,218.75,218.75,555902
2014-05-23,216.25,227.75,216.0,223.0,223.0,130366
2014-05-27,223.0,226.5,220.0,222.0,222.0,248661
2014-05-28,222.0,231.5,222.0,228.75,228.75,255052
2014-05-29,228.0,241.5,227.399994,239.0,239.0,302352
2014-05-30,240.0,248.25,238.0,245.0,245.0,451508
2014-06-02,242.75,254.5,242.75,250.0,250.0,299177
2014-06-03,246.0,254.0,245.25,247.5,247.5,621379
2014-06-04,245.75,246.600006,242.0,242.25,242.25,322138
2014-06-05,239.5,249.5,229.25,237.0,237.0,230983
