Date,Open,High,Low,Close,Adj Close,Volume
2016-02-16,891.5,913.802002,880.0,891.0,871.745117,2726301
2016-02-17,931.0,950.0,887.0,903.0,883.485718,3004358
2016-02-18,910.0,910.0,863.5,871.0,852.177307,3374782
2016-02-19,864.0,864.0,821.5,849.0,830.65271,3112269
2016-02-22,855.5,858.0,831.0,851.5,833.098633,1991695
2016-02-23,857.0,857.5,815.5,817.5,799.833435,1888050
2016-02-24,825.0,842.0,794.5,824.0,806.192993,2203971
2016-02-25,820.0,843.5,811.0,831.0,813.041687,1854934
2016-02-26,835.0,853.5,819.0,846.5,828.206726,1033142
2016-02-29,833.0,888.5,828.0,888.5,869.299072,4846973
2016-03-01,880.0,899.0,861.5,882.5,863.428772,2051008
2016-03-02,876.5,895.5,876.5,895.5,876.147827,1693309
2016-03-03,903.5,922.0,874.5,882.5,863.428772,1204804
2016-03-04,912.0,912.0,867.5,900.5,881.039795,900018
2016-03-07,896.5,923.5,896.5,906.5,886.910095,927452
2016-03-08,921.5,934.0,904.5,932.5,912.348267,990994
2016-03-09,941.0,949.0,916.0,942.0,921.642944,716613
2016-03-10,951.5,962.0,932.0,934.5,914.304993,786701
2016-03-11,937.0,950.0,914.5,925.0,905.010315,729906
2016-03-14,930.0,932.5,899.5,909.5,889.845276,798855
2016-03-15,890.0,890.0,845.5,856.0,837.501404,3057559
2016-03-16,867.0,868.5,843.0,851.0,832.609558,1041447
2016-03-17,868.0,884.5,850.0,854.5,836.033875,1555433
2016-03-18,860.5,860.5,836.0,860.0,841.414978,10009053
2016-03-21,853.5,864.5,853.0,857.0,838.479797,821907
2016-03-22,857.5,868.0,853.0,865.0,846.307007,1875702
2016-03-23,863.0,891.0,863.0,884.5,865.385559,1673702
2016-03-24,879.0,881.5,853.0,854.5,836.033875,858787
2016-03-29,854.5,883.5,854.5,883.5,864.407166,647050
2016-03-30,905.5,908.5,891.5,903.0,883.485718,1037410
2016-03-31,902.5,916.690002,890.5,896.0,876.636963,894816
2016-04-01,891.0,900.0,882.0,898.0,878.593811,925810
2016-04-04,904.5,945.0,900.799988,928.5,908.434692,1090073
2016-04-05,923.5,924.0,908.5,920.0,900.118286,809661
2016-04-06,918.5,927.0,910.5,921.0,901.096741,715244
2016-04-07,928.0,938.5,912.5,919.0,899.140015,619829
2016-04-08,919.0,925.5,910.0,922.0,902.075134,486159
2016-04-11,919.5,942.5,915.934021,934.5,914.304993,811817
2016-04-12,937.0,940.0,929.5,938.0,917.72937,444085
2016-04-13,940.5,952.0,935.0,952.0,931.42688,557578
2016-04-14,957.5,969.0,953.5,966.0,945.124329,1706634
2016-04-15,967.0,967.0,938.5,942.5,922.132141,930879
2016-04-18,940.0,941.5,929.0,933.5,913.326599,583209
2016-04-19,931.5,938.5,898.0,900.5,881.039795,1344227
2016-04-20,901.0,921.5,899.0,920.5,900.607605,720734
2016-04-21,919.0,922.40802,903.5,919.0,899.140015,879097
2016-04-22,916.0,916.5,906.5,909.0,889.356079,695183
2016-04-25,910.5,919.5,903.5,910.0,890.334534,691021
2016-04-26,908.0,915.0,906.5,910.0,890.334534,523275
2016-04-27,905.5,911.0,902.5,907.5,887.888489,344445
2016-04-28,901.0,912.0,895.5,908.5,888.866943,540682
2016-04-29,904.5,915.5,901.5,905.0,885.442505,801972
2016-05-03,905.0,907.5,883.5,888.0,868.809875,796599
2016-05-04,885.0,886.0,875.0,880.0,860.982788,652504
2016-05-05,882.0,884.0,869.0,871.0,852.177307,661274
2016-05-06,870.5,876.5,860.0,873.0,854.134094,749879
2016-05-09,875.5,882.5,860.0,865.5,846.796082,444866
2016-05-10,872.0,877.0,862.0,874.0,855.112427,629342
2016-05-11,874.0,886.5,866.5,876.5,857.558472,471986
2016-05-12,877.5,883.5,866.5,877.5,858.536804,992605
2016-05-13,875.0,876.5,830.0,835.5,817.444458,1130970
2016-05-16,830.5,835.0,814.0,829.5,811.574097,1125409
2016-05-17,831.5,834.0,820.5,830.0,812.063354,1415120
2016-05-18,828.5,830.0,816.0,830.0,812.063354,1280485
2016-05-19,827.0,833.0,818.5,825.0,807.171387,982580
2016-05-20,826.5,847.5,826.5,846.5,828.206726,873361
2016-05-23,848.5,853.0,845.0,852.0,833.587891,609993
2016-05-24,846.5,865.5,839.0,857.0,838.479797,768226
2016-05-25,857.5,876.0,852.5,855.5,837.012268,957957
2016-05-26,855.5,875.0,855.5,868.0,849.242126,861494
2016-05-27,867.5,873.0,861.0,870.5,851.687988,746470
2016-05-31,870.5,878.5,859.0,866.5,847.774536,1220454
2016-06-01,870.0,888.0,870.0,883.5,864.407166,914957
2016-06-02,881.0,888.0,879.0,879.5,860.493591,655412
2016-06-03,881.0,896.5,881.0,889.0,869.78833,550567
2016-06-06,894.0,920.0,891.0,915.5,895.715576,2339409
2016-06-07,914.5,922.0,902.5,905.0,885.442505,961431
2016-06-08,901.0,918.0,898.5,913.0,893.269714,693848
2016-06-09,911.0,912.0,893.5,894.5,875.169373,476658
2016-06-10,898.0,899.0,874.5,882.5,863.428772,532831
2016-06-13,883.0,891.0,875.5,876.0,857.069214,691264
2016-06-14,878.0,878.0,863.0,866.0,847.285339,1020037
2016-06-15,866.0,893.5,866.0,885.5,866.363892,1216653
2016-06-16,850.0,877.5,849.5,853.0,839.534241,989291
2016-06-17,863.0,869.5,843.5,850.0,836.581604,2644678
2016-06-20,871.5,897.5,865.0,892.5,878.410706,1336786
2016-06-21,891.0,926.0,890.0,923.0,908.429199,1789188
2016-06-22,931.0,945.0,924.5,938.5,923.68457,980180
2016-06-23,953.5,954.5,938.0,952.5,937.463562,854928
2016-06-24,940.0,992.0,909.5,986.0,970.434692,2018487
2016-06-27,978.5,1028.0,978.5,982.5,966.989868,1377777
2016-06-28,1000.0,1045.0,997.0,1045.0,1028.503296,1392387
2016-06-29,1059.0,1084.0,1051.0,1084.0,1066.887573,1194696
2016-06-30,1089.0,1108.0,1068.0,1095.0,1077.713989,1319349
2016-07-01,1100.0,1103.0,1069.0,1095.0,1077.713989,1167807
2016-07-04,1101.0,1101.0,1076.0,1087.0,1069.840332,637257
2016-07-05,1082.0,1104.0,1074.0,1100.0,1082.63501,1538911
2016-07-06,1103.0,1119.0,1097.0,1106.0,1088.540283,1167342
2016-07-07,1114.0,1125.0,1090.0,1100.0,1082.63501,1162245
2016-07-08,1102.0,1110.0,1083.0,1109.0,1091.493042,1114807
2016-07-11,1095.0,1120.0,1095.0,1116.0,1098.382446,980852
2016-07-12,1110.0,1113.0,1054.0,1060.0,1043.266357,1634372
2016-07-13,1049.0,1079.0,1047.0,1073.0,1056.061279,1202966
2016-07-14,1074.0,1081.0,1057.0,1066.0,1049.171753,1386388
2016-07-15,1069.0,1070.0,1044.0,1069.0,1052.12439,791021
