Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,133.0,133.0,133.0,133.0,82.064522,0.0
2000-01-04,136.0,139.0,127.5,135.0,83.298576,746940.0
2000-01-05,124.0,137.0,124.0,128.0,78.979408,1824470.0
2000-01-06,130.0,133.5,128.5,131.0,80.830475,2354614.0
2000-01-07,130.0,134.0,128.5,134.0,82.681541,1967192.0
2000-01-10,136.0,138.0,131.0,137.5,84.841148,1772363.0
2000-01-11,138.0,143.0,137.5,141.0,87.00074,1606049.0
2000-01-12,145.0,145.800003,138.0,144.75,89.314621,1292615.0
2000-01-13,141.0,145.0,137.0,144.5,89.160324,2454963.0
2000-01-14,150.0,153.0,137.0,139.5,86.075226,4540951.0
2000-01-17,141.0,143.0,137.5,140.25,86.537964,511186.0
2000-01-18,142.0,142.0,126.5,130.75,80.676216,810491.0
2000-01-19,136.5,139.0,124.0,127.0,78.362366,3819339.0
2000-01-20,126.5,134.0,126.0,131.0,80.830475,2442949.0
2000-01-21,129.5,134.0,122.0,131.0,80.830475,1327284.0
2000-01-24,138.0,140.800003,132.0,136.0,83.915604,718229.0
2000-01-25,139.0,139.0,130.0,133.0,82.064522,510917.0
2000-01-26,138.0,137.0,123.0,126.0,77.745331,1580930.0
2000-01-27,126.800003,127.0,119.0,120.0,74.04319,1620210.0
2000-01-28,133.0,140.0,125.0,130.0,80.213432,3847785.0
2000-01-31,140.0,140.0,127.5,127.5,78.670906,3026243.0
2000-02-01,132.0,133.0,127.5,130.5,80.521973,5577065.0
2000-02-02,131.399994,131.5,128.0,129.0,79.59642,2270780.0
2000-02-03,131.0,131.0,118.5,123.0,75.894264,1077497.0
2000-02-04,130.0,130.0,125.0,128.0,78.979408,1061300.0
2000-02-07,130.0,130.0,122.0,125.5,77.436836,1216564.0
2000-02-08,125.5,127.0,116.0,116.0,71.575096,2691823.0
2000-02-09,120.0,128.5,119.0,124.0,76.511284,4345617.0
2000-02-10,124.0,125.0,121.0,121.5,74.968735,1398565.0
2000-02-11,120.0,122.5,118.0,122.0,75.277237,1051594.0
2000-02-14,123.5,123.5,117.0,120.0,74.04319,324430.0
2000-02-15,122.0,122.0,111.0,120.0,74.04319,352598.0
2000-02-16,120.0,120.0,110.0,116.0,71.575096,1012883.0
2000-02-17,113.900002,130.0,113.900002,125.0,77.128319,8858278.0
2000-02-18,125.0,130.0,125.0,127.0,78.362366,1411191.0
2000-02-21,129.0,130.0,123.0,125.0,77.128319,1294972.0
2000-02-22,125.0,128.0,119.0,121.0,74.66021,894373.0
2000-02-23,121.0,122.0,115.800003,119.25,73.580421,4975345.0
