Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,594.0,594.0,594.0,594.0,349.711578,0.0
2000-01-04,598.0,626.0,560.0,615.0,362.075134,1403372.0
2000-01-05,615.0,642.0,582.0,600.0,353.244049,2364909.0
2000-01-06,625.0,632.0,595.0,603.0,355.010223,1364530.0
2000-01-07,610.0,620.0,595.0,608.0,357.953949,1756365.0
2000-01-10,624.0,624.0,588.0,589.0,346.767914,904309.0
2000-01-11,604.0,604.0,562.0,572.0,336.759369,1421038.0
2000-01-12,596.0,600.0,560.0,562.0,330.871948,725022.0
2000-01-13,568.0,568.0,512.0,522.0,307.322266,1120209.0
2000-01-14,536.0,536.0,514.0,530.0,312.032288,1908408.0
2000-01-17,530.0,559.0,524.400024,542.0,319.097137,2095596.0
2000-01-18,553.0,554.0,525.0,533.0,313.798462,1359324.0
2000-01-19,548.0,548.0,510.0,510.0,300.257416,678606.0
2000-01-20,518.299988,538.0,510.0,535.0,314.97583,1069112.0
2000-01-21,529.0,546.0,529.0,538.0,316.742188,652020.0
2000-01-24,548.0,548.0,525.0,529.5,311.737885,1169421.0
2000-01-25,525.0,525.0,506.0,506.0,297.902527,1293609.0
2000-01-26,521.0,525.0,492.299988,494.0,290.837585,1148596.0
2000-01-27,496.5,496.5,458.0,460.0,270.820435,1385149.0
2000-01-28,546.0,546.799988,455.0,491.5,289.365784,5090623.0
2000-01-31,485.0,510.0,450.0,484.0,284.950226,2966320.0
2000-02-01,487.0,487.0,446.0,451.0,265.52182,3696291.0
2000-02-02,460.0,489.0,455.0,464.5,273.469788,1891212.0
2000-02-03,467.0,474.0,446.0,461.0,271.409149,2449871.0
2000-02-04,454.0,490.0,454.0,460.0,270.820435,2714964.0
2000-02-07,450.0,474.5,442.5,450.0,264.932953,1386809.0
2000-02-08,450.0,478.5,448.5,453.0,266.699249,2642782.0
2000-02-09,543.0,550.0,404.0,437.0,257.279449,1863750.0
2000-02-10,550.0,550.0,405.0,430.0,253.158234,4542001.0
2000-02-11,426.299988,505.0,426.299988,495.5,291.720703,3484775.0
2000-02-14,500.0,501.799988,465.0,470.0,276.707886,1569765.0
2000-02-15,480.0,483.0,450.0,453.0,266.699249,1810560.0
2000-02-16,456.5,476.0,435.0,447.0,263.16687,4164672.0
2000-02-17,437.5,460.0,420.0,434.0,255.513245,1945243.0
2000-02-18,448.5,453.0,427.5,437.0,257.279449,658306.0
2000-02-21,435.0,463.0,427.0,443.5,261.106293,1280765.0
2000-02-22,466.0,470.0,430.0,435.0,256.101959,475170.0
2000-02-23,435.0,466.0,433.299988,446.0,262.578094,1313526.0
2000-02-24,447.0,470.0,440.0,443.5,261.106293,4004848.0
2000-02-25,443.700012,459.5,435.0,459.5,270.526031,1674240.0
2000-02-28,459.5,493.0,450.0,487.0,286.716461,636836.0
2000-02-29,495.0,530.0,457.5,525.0,309.088531,1936577.0
2000-03-01,520.0,538.0,499.0,520.0,306.144836,1687628.0
2000-03-02,520.5,532.0,485.0,490.0,288.482635,4476992.0
2000-03-03,490.0,510.0,481.5,510.0,300.257416,323582.0
2000-03-06,528.0,528.0,500.0,517.0,304.378632,2728350.0
2000-03-07,510.0,529.5,510.0,512.0,301.434906,1201763.0
2000-03-08,538.0,538.0,510.0,517.0,304.378632,1544651.0
2000-03-09,546.799988,547.5,513.0,532.0,313.209747,702760.0
2000-03-10,514.0,548.0,510.0,535.0,314.97583,1646674.0
2000-03-13,524.0,538.0,520.0,520.0,306.144836,1533953.0
2000-03-14,524.400024,530.0,518.0,525.0,309.088531,2284374.0
2000-03-15,523.0,535.0,519.0,530.0,312.032288,942909.0
2000-03-16,550.0,588.0,528.0,570.5,335.87619,2415173.0
2000-03-17,583.099976,597.0,552.0,555.5,327.045135,2639890.0
2000-03-20,555.5,565.0,552.0,553.5,325.867676,7850618.0
2000-03-21,553.299988,568.0,547.0,549.0,323.218323,4841239.0
2000-03-22,542.0,585.0,542.0,580.0,341.469116,1945756.0
2000-03-23,559.0,559.0,495.0,504.0,296.725006,4807973.0
2000-03-24,500.0,513.5,477.0,495.0,291.426331,1607094.0
2000-03-27,497.0,503.299988,470.0,495.0,291.426331,2984901.0
2000-03-28,498.5,508.0,470.0,499.5,294.075684,2876305.0
2000-03-29,497.5,502.0,488.5,495.0,291.426331,7714657.0
2000-03-30,487.0,503.299988,477.5,487.0,286.716461,766769.0
2000-03-31,475.0,493.5,455.0,467.0,274.94165,1689447.0
2000-04-03,459.0,489.0,459.0,480.0,282.595276,1011018.0
2000-04-04,491.0,492.0,455.5,482.0,283.772705,2043588.0
2000-04-05,482.0,485.0,470.0,485.0,285.53894,605335.0
2000-04-06,482.0,510.0,481.299988,504.0,296.725006,3698453.0
2000-04-07,504.0,521.0,475.0,485.0,285.53894,1820872.0
2000-04-10,496.0,508.0,488.0,499.0,293.781342,1562722.0
2000-04-11,505.0,516.0,495.0,505.0,297.313721,608733.0
2000-04-12,504.0,527.5,504.0,520.5,306.439178,2953437.0
2000-04-13,521.0,530.0,513.0,517.0,304.378632,2110902.0
2000-04-14,515.299988,558.5,511.5,551.5,324.690186,2335636.0
2000-04-17,550.0,550.0,500.0,515.0,303.201233,2315371.0
2000-04-18,524.0,539.5,515.0,530.5,312.32663,1089809.0
2000-04-19,555.0,555.0,525.0,530.0,312.032288,546483.0
2000-04-20,531.299988,538.5,531.299988,532.0,313.209747,2225689.0
2000-04-21,532.0,532.0,532.0,532.0,313.209747,0.0
2000-04-24,532.0,532.0,532.0,532.0,313.209747,0.0
2000-04-25,535.0,535.0,516.0,518.5,305.261688,5144007.0
2000-04-26,500.5,518.0,500.5,509.0,299.668732,6607698.0
2000-04-27,509.0,513.5,461.299988,491.0,289.071381,2614128.0
2000-04-28,505.0,510.0,480.5,502.5,295.841858,1351007.0
2000-05-01,502.5,502.5,502.5,502.5,295.841858,0.0
2000-05-02,512.0,513.0,499.0,510.0,300.257416,2065818.0
2000-05-03,504.0,551.799988,504.0,510.5,300.551788,8245839.0
2000-05-04,517.799988,519.0,513.0,514.0,302.612457,1391814.0
2000-05-05,553.0,553.0,501.0,520.0,306.144836,7367816.0
2000-05-08,505.0,546.0,505.0,526.0,309.677307,1280276.0
2000-05-09,510.0,545.5,510.0,536.0,315.564728,7071895.0
2000-05-10,534.0,542.0,515.5,515.5,303.495544,1325753.0
2000-05-11,512.0,524.0,512.0,524.0,308.499817,2017431.0
2000-05-12,551.0,555.0,512.0,545.0,320.863342,1288189.0
2000-05-15,545.0,554.0,535.0,550.0,323.807037,5665550.0
2000-05-16,477.0,547.0,477.0,544.0,320.274658,894826.0
