Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,214.0,214.0,214.0,214.0,174.949081,0.0
2000-01-04,223.0,235.0,221.0,227.25,185.781189,12356428.0
2000-01-05,222.5,228.0,211.0,225.0,183.941757,8254553.0
2000-01-06,226.800003,226.800003,215.0,223.0,182.306763,14809675.0
2000-01-07,217.0,235.0,217.0,228.25,186.598694,12535907.0
2000-01-10,228.0,235.0,221.0,229.25,187.416245,9640755.0
2000-01-11,231.300003,234.0,224.0,227.0,185.576782,6235389.0
2000-01-12,229.300003,240.0,227.0,235.0,192.116974,4217520.0
2000-01-13,240.0,240.0,225.0,230.0,188.029388,4593440.0
2000-01-14,230.0,238.5,229.0,233.0,190.481918,3370497.0
2000-01-17,232.199997,239.0,230.0,232.25,189.868744,2589154.0
2000-01-18,240.0,240.0,221.0,223.75,182.91983,2708464.0
2000-01-19,218.0,235.0,218.0,231.0,188.846863,8587890.0
2000-01-20,230.0,234.0,227.0,228.25,186.598694,9459384.0
2000-01-21,225.800003,228.0,224.5,227.75,186.189926,7904817.0
2000-01-24,224.0,230.300003,224.0,228.5,186.80307,5757281.0
2000-01-25,220.0,225.300003,215.300003,216.0,176.584061,3730773.0
2000-01-26,218.0,224.800003,212.5,218.75,178.832275,3739411.0
2000-01-27,219.0,222.0,210.0,215.75,176.379669,3814536.0
2000-01-28,216.0,223.0,209.5,211.25,172.700851,6955753.0
2000-01-31,213.5,224.0,204.5,209.0,170.861481,3897458.0
2000-02-01,209.0,211.0,205.800003,207.75,169.839523,6023905.0
2000-02-02,207.800003,220.300003,205.0,213.25,174.335922,6922167.0
2000-02-03,210.399994,222.800003,210.399994,215.0,175.766556,5107465.0
2000-02-04,213.0,219.300003,206.0,213.75,174.744705,4227878.0
2000-02-07,212.0,215.300003,203.0,206.5,168.817612,3053920.0
2000-02-08,206.5,214.800003,205.5,212.5,173.722733,6960916.0
2000-02-09,203.0,214.0,203.0,206.25,168.613281,9223623.0
2000-02-10,203.0,209.0,200.5,201.5,164.730087,3661277.0
2000-02-11,202.5,208.5,192.0,203.25,166.16069,7801412.0
2000-02-14,200.0,204.5,192.0,193.5,158.189911,3983082.0
2000-02-15,192.0,195.0,190.0,194.0,158.598648,5861234.0
2000-02-16,194.5,209.0,192.600006,201.0,164.321289,10307156.0
2000-02-17,197.300003,212.0,196.0,208.25,170.248291,5204349.0
2000-02-18,216.0,217.0,198.0,204.75,167.387024,8286062.0
2000-02-21,201.0,217.0,198.5,203.0,165.956299,14040814.0
2000-02-22,214.5,216.0,204.0,206.75,169.022018,11364621.0
2000-02-23,206.800003,213.0,206.800003,211.0,172.496506,7350940.0
2000-02-24,210.699997,214.0,205.300003,206.5,168.817612,12284446.0
2000-02-25,207.899994,210.0,203.0,204.25,166.978287,6097566.0
2000-02-28,212.0,215.0,201.800003,205.5,168.000122,9044387.0
2000-02-29,207.800003,208.0,201.0,206.25,168.613281,9082135.0
2000-03-01,205.800003,209.0,200.0,208.0,170.043915,16532197.0
2000-03-02,215.0,215.0,180.0,191.0,156.146118,22599094.0
2000-03-03,199.339996,200.0,184.0,188.0,153.693542,7204422.0
2000-03-06,215.0,218.0,190.5,194.25,158.803024,11344316.0
2000-03-07,198.0,198.5,193.5,195.25,159.620544,7437145.0
2000-03-08,195.770004,202.0,181.0,185.5,151.64978,4721437.0
2000-03-09,194.0,195.0,184.0,186.25,152.262909,12159918.0
2000-03-10,196.0,196.0,182.0,185.25,151.445358,7276105.0
2000-03-13,187.0,191.300003,182.0,185.0,151.240997,3998671.0
2000-03-14,190.0,195.300003,184.0,188.5,154.10228,6144201.0
2000-03-15,188.25,199.0,186.75,197.5,161.459946,13972251.0
2000-03-16,208.0,208.0,190.0,202.75,165.751953,15771422.0
2000-03-17,192.5,210.0,192.5,200.0,163.503799,5530167.0
2000-03-20,199.800003,210.0,198.300003,201.75,164.934448,3178938.0
2000-03-21,200.600006,204.0,198.5,201.75,164.934448,4012363.0
2000-03-22,200.479996,209.0,192.0,197.75,161.664337,6042942.0
2000-03-23,202.0,203.0,195.0,198.75,162.481873,1355356.0
2000-03-24,198.0,203.0,191.0,199.0,162.686249,5274030.0
2000-03-27,207.5,207.5,193.5,195.5,159.824936,3693838.0
2000-03-28,203.0,203.0,191.5,192.0,156.963654,6729370.0
2000-03-29,194.770004,210.0,188.0,200.0,163.503799,8831124.0
2000-03-30,201.0,203.5,197.0,200.0,163.503799,11413819.0
2000-03-31,200.0,204.0,200.0,203.25,166.16069,12576693.0
2000-04-03,201.0,204.25,188.0,199.75,163.299438,8483142.0
2000-04-04,200.0,214.0,194.0,206.0,168.40889,10744700.0
2000-04-05,207.119995,207.119995,207.119995,207.119995,169.324509,2800.0
2000-04-06,212.0,217.5,206.0,211.0,172.496506,4908773.0
2000-04-07,193.0,214.0,193.0,211.5,172.905212,6647338.0
2000-04-10,215.0,216.0,208.0,210.5,172.087723,4612487.0
2000-04-11,212.0,218.5,208.5,215.25,175.970963,5002703.0
2000-04-12,212.0,225.0,212.0,221.75,181.284805,5085295.0
2000-04-13,212.0,235.0,212.0,227.5,185.985535,5135340.0
2000-04-14,227.0,231.0,215.0,223.75,182.91983,4665415.0
2000-04-17,229.0,229.0,207.0,219.75,179.649811,3813623.0
2000-04-18,225.0,228.0,215.25,226.75,185.372406,4372431.0
2000-04-19,221.0,232.300003,220.0,230.5,188.438126,4789971.0
2000-04-20,230.0,233.5,225.0,227.0,185.576782,4190096.0
2000-04-21,227.0,227.0,227.0,227.0,185.576782,0.0
