Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,618.5,618.5,618.5,618.5,578.101074,0.0
2000-01-04,619.0,619.0,619.0,619.0,578.568481,2303683.0
2000-01-05,597.5,597.5,597.5,597.5,558.473022,2486210.0
2000-01-06,646.5,646.5,646.5,646.5,604.272278,1092998.0
2000-01-07,701.5,701.5,701.5,701.5,655.679871,1735077.0
2000-01-10,715.0,715.0,715.0,715.0,668.298096,2079669.0
2000-01-11,679.0,679.0,679.0,679.0,634.649414,1145170.0
2000-01-12,666.5,666.5,666.5,666.5,622.965942,1829738.0
2000-01-13,696.5,696.5,696.5,696.5,651.006409,941130.0
2000-01-14,746.5,746.5,746.5,746.5,697.740662,1020879.0
2000-01-17,746.5,746.5,746.5,746.5,697.740662,401174.0
2000-01-18,756.5,756.5,756.5,756.5,707.087463,634847.0
2000-01-19,832.5,832.5,832.5,832.5,778.123291,3421028.0
2000-01-20,885.5,885.5,885.5,885.5,827.661316,2754142.0
2000-01-21,846.5,846.5,846.5,846.5,791.208923,1223325.0
2000-01-24,846.5,846.5,846.5,846.5,791.208923,517052.0
2000-01-25,845.0,845.0,845.0,845.0,789.806763,817351.0
2000-01-26,901.5,901.5,901.5,901.5,842.616211,970708.0
2000-01-27,934.0,934.0,934.0,934.0,872.993408,1345121.0
2000-01-28,883.5,883.5,883.5,883.5,825.792114,1202066.0
2000-01-31,837.5,837.5,837.5,837.5,782.796509,789085.0
2000-02-01,847.5,847.5,847.5,847.5,792.143494,1193897.0
2000-02-02,832.5,832.5,832.5,832.5,778.123291,743214.0
2000-02-03,807.5,807.5,807.5,807.5,754.756104,1012120.0
2000-02-04,788.5,788.5,788.5,788.5,736.997192,593184.0
2000-02-07,779.5,779.5,779.5,779.5,728.585022,394636.0
2000-02-08,772.5,772.5,772.5,772.5,722.042236,1114949.0
2000-02-09,828.0,828.0,828.0,828.0,773.917236,1670116.0
2000-02-10,870.5,870.5,870.5,870.5,813.641174,1002457.0
2000-02-11,867.5,867.5,867.5,867.5,810.837036,1503187.0
2000-02-14,858.5,858.5,858.5,858.5,802.424988,712308.0
2000-02-15,876.0,876.0,876.0,876.0,818.781799,1294910.0
2000-02-16,913.5,913.5,913.5,913.5,853.832397,516020.0
2000-02-17,938.5,938.5,938.5,938.5,877.199585,611201.0
2000-02-18,965.0,965.0,965.0,965.0,901.96875,1560589.0
2000-02-21,965.5,965.5,965.5,965.5,902.435852,640359.0
2000-02-22,973.5,973.5,973.5,973.5,909.913452,1328846.0
2000-02-23,1011.0,1011.0,1011.0,1011.0,944.964111,981107.0
2000-02-24,1001.5,1001.5,1001.5,1001.5,936.084534,1380286.0
2000-02-25,987.5,987.5,987.5,987.5,922.998962,820948.0
2000-02-28,1001.0,1001.0,1001.0,1001.0,935.617249,537335.0
2000-02-29,1027.5,1027.5,1027.5,1027.5,960.386414,2417541.0
2000-03-01,1110.0,1110.0,1110.0,1110.0,1037.497559,5345027.0
2000-03-02,1108.0,1108.0,1108.0,1108.0,1035.628296,1558163.0
2000-03-03,1266.0,1266.0,1266.0,1266.0,1183.307861,3686326.0
2000-03-06,1229.0,1229.0,1229.0,1229.0,1148.724731,5022153.0
2000-03-07,1201.0,1201.0,1201.0,1201.0,1122.553833,3201740.0
2000-03-08,1267.5,1267.5,1267.5,1267.5,1184.710083,2330325.0
2000-03-09,1312.5,1312.5,1312.5,1312.5,1226.770874,3343708.0
2000-03-10,1395.0,1395.0,1395.0,1395.0,1303.88208,2903553.0
2000-03-13,1427.5,1427.5,1427.5,1427.5,1334.259155,2273741.0
2000-03-14,1384.0,1384.0,1384.0,1384.0,1293.600464,2052761.0
2000-03-15,1200.0,1200.0,1200.0,1200.0,1121.618896,3031413.0
2000-03-16,1141.0,1141.0,1141.0,1141.0,1066.472778,1623501.0
2000-03-17,1164.0,1164.0,1164.0,1164.0,1087.970459,819228.0
2000-03-20,1070.0,1070.0,1070.0,1070.0,1000.110168,710743.0
2000-03-21,1003.0,1003.0,1003.0,1003.0,937.486572,2079542.0
2000-03-22,1060.0,1060.0,1060.0,1060.0,990.763245,2033732.0
2000-03-23,1052.0,1052.0,1052.0,1052.0,983.285889,1215600.0
2000-03-24,1060.0,1060.0,1060.0,1060.0,990.763245,882253.0
2000-03-27,1063.0,1063.0,1063.0,1063.0,993.567627,997216.0
2000-03-28,1053.0,1053.0,1053.0,1053.0,984.220642,2023896.0
2000-03-29,1061.0,1061.0,1061.0,1061.0,991.698059,1213523.0
