Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,128.173004,128.173004,128.173004,128.173004,40.964817,0.0
2000-01-04,129.457001,129.457001,129.457001,129.457001,41.375187,439839.0
2000-01-05,129.779007,129.779007,129.779007,129.779007,41.478104,243025.0
2000-01-06,135.240005,135.240005,135.240005,135.240005,43.223476,4015650.0
2000-01-07,136.524994,136.524994,136.524994,136.524994,43.634155,7937344.0
2000-01-10,134.276001,134.276001,134.276001,134.276001,42.915375,1724677.0
2000-01-11,130.421005,130.421005,130.421005,130.421005,41.683292,1326919.0
2000-01-12,127.850998,127.850998,127.850998,127.850998,40.861908,603264.0
2000-01-13,123.996002,123.996002,123.996002,123.996002,39.629822,1505572.0
2000-01-14,120.141998,120.141998,120.141998,120.141998,38.398064,4043865.0
2000-01-17,116.608002,116.608002,116.608002,116.608002,38.125393,1299663.0
2000-01-18,116.608002,116.608002,116.608002,116.608002,38.125393,785548.0
2000-01-19,115.966003,115.966003,115.966003,115.966003,37.915489,3937444.0
2000-01-20,116.608002,116.608002,116.608002,116.608002,38.125393,1328673.0
2000-01-21,113.074997,113.074997,113.074997,113.074997,36.970253,1570430.0
2000-01-24,110.825996,110.825996,110.825996,110.825996,36.234951,914281.0
2000-01-25,114.038002,114.038002,114.038002,114.038002,37.285118,476113.0
2000-01-26,115.643997,115.643997,115.643997,115.643997,37.8102,4915031.0
2000-01-27,119.178001,119.178001,119.178001,119.178001,38.965656,3643783.0
2000-01-28,122.711998,122.711998,122.711998,122.711998,40.121098,3565871.0
2000-01-31,122.711998,122.711998,122.711998,122.711998,40.121098,2739708.0
2000-02-01,118.213997,118.213997,118.213997,118.213997,38.650463,6708914.0
2000-02-02,113.717003,113.717003,113.717003,113.717003,37.180164,1218414.0
2000-02-03,111.468002,111.468002,111.468002,111.468002,36.444855,1265048.0
2000-02-04,110.182999,110.182999,110.182999,110.182999,36.024708,216933.0
2000-02-07,110.182999,110.182999,110.182999,110.182999,36.024708,128532.0
2000-02-08,108.255997,108.255997,108.255997,108.255997,35.394665,1330960.0
2000-02-09,104.401001,104.401001,104.401001,104.401001,34.134266,1693291.0
2000-02-10,101.510002,101.510002,101.510002,101.510002,33.189049,666741.0
2000-02-11,100.224998,100.224998,100.224998,100.224998,32.768906,1149950.0
2000-02-14,102.794998,102.794998,102.794998,102.794998,33.609177,2261794.0
2000-02-15,102.794998,102.794998,102.794998,102.794998,33.609177,1221759.0
2000-02-16,100.545998,100.545998,100.545998,100.545998,32.873863,790395.0
2000-02-17,86.204002,102.153,97.013,98.297997,32.138866,434695.0
2000-02-18,94.764,94.764,94.764,94.764,30.9834,335008.0
2000-02-21,94.122002,94.122002,94.122002,94.122002,30.773514,412162.0
2000-02-22,92.515999,92.515999,92.515999,92.515999,30.248417,3193540.0
2000-02-23,93.800003,93.800003,93.800003,93.800003,30.66823,1155297.0
2000-02-24,94.122002,94.122002,94.122002,94.122002,30.773514,573298.0
2000-02-25,90.908997,90.908997,90.908997,90.908997,29.723015,498841.0
2000-02-28,90.266998,90.266998,90.266998,90.266998,29.513109,1077637.0
2000-02-29,89.945999,89.945999,89.945999,89.945999,29.408154,774682.0
2000-03-01,90.266998,90.266998,90.266998,90.266998,29.513109,1043911.0
2000-03-02,89.624001,89.624001,89.624001,89.624001,29.302874,2545201.0
2000-03-03,90.587997,90.587997,90.587997,90.587997,29.618055,2429453.0
2000-03-06,92.194,92.194,92.194,92.194,30.143143,16037022.0
2000-03-07,93.478996,93.478996,93.478996,93.478996,30.563271,1986294.0
2000-03-08,94.122002,94.122002,94.122002,94.122002,30.773514,1490558.0
2000-03-09,96.049004,96.049004,96.049004,96.049004,31.403553,8253412.0
2000-03-10,94.443001,94.443001,94.443001,94.443001,30.878462,163214.0
2000-03-13,93.800003,94.443001,93.157997,94.443001,30.878462,664431.0
2000-03-14,93.157997,93.157997,93.157997,93.157997,30.458321,3638327.0
2000-03-15,91.552002,91.552002,91.552002,91.552002,29.933243,106522.0
2000-03-16,90.908997,90.908997,90.908997,90.908997,29.723015,4479419.0
2000-03-17,91.231003,91.231003,91.231003,91.231003,29.828289,3877665.0
2000-03-20,90.266998,90.266998,90.266998,90.266998,29.513109,253399.0
2000-03-21,89.945999,89.945999,89.945999,89.945999,29.408154,454807.0
2000-03-22,87.375999,87.375999,87.375999,87.375999,28.567877,453823.0
2000-03-23,84.485001,84.485001,84.485001,84.485001,27.622663,730876.0
2000-03-24,85.126999,85.126999,85.126999,85.126999,27.832567,6650488.0
2000-03-27,87.055,87.055,87.055,87.055,28.462934,4565071.0
2000-03-28,85.769997,85.769997,85.769997,85.769997,28.042786,845015.0
2000-03-29,85.126999,85.126999,85.126999,85.126999,27.832567,812550.0
2000-03-30,84.163002,84.163002,84.163002,84.163002,27.517376,1253032.0
2000-03-31,81.272003,81.272003,81.272003,81.272003,26.572163,567841.0
2000-04-03,78.059998,78.059998,78.059998,78.059998,25.521992,340304.0
2000-04-04,75.168999,75.168999,75.168999,75.168999,24.576769,3950659.0
2000-04-05,75.810997,75.810997,75.810997,75.810997,24.786671,347721.0
2000-04-06,78.380997,78.380997,78.380997,78.380997,25.62694,1115522.0
2000-04-07,82.556999,82.556999,82.556999,82.556999,26.992292,559529.0
2000-04-10,86.412003,86.412003,86.412003,86.412003,28.252703,1755333.0
2000-04-11,88.982002,88.982002,88.982002,88.982002,29.092964,2751681.0
2000-04-12,89.624001,89.624001,89.624001,89.624001,29.302874,2127392.0
2000-04-13,88.661003,88.661003,88.661003,88.661003,28.988022,1609765.0
2000-04-14,88.338997,88.338997,88.338997,88.338997,28.882734,867437.0
2000-04-17,85.126999,85.126999,85.126999,85.126999,27.832567,4663694.0
2000-04-18,84.163002,84.163002,84.163002,84.163002,27.517376,1096679.0
2000-04-19,73.527,85.447998,82.877998,83.842003,27.412434,2783134.0
2000-04-20,83.842003,83.842003,83.842003,83.842003,27.412434,414772.0
2000-04-21,83.842003,83.842003,83.842003,83.842003,27.412434,0.0
2000-04-24,83.842003,83.842003,83.842003,83.842003,27.412434,0.0
2000-04-25,83.842003,83.842003,83.842003,83.842003,27.412434,2018952.0
2000-04-26,87.375999,87.375999,87.375999,87.375999,28.567877,3759379.0
2000-04-27,86.733002,86.733002,86.733002,86.733002,28.357656,2543823.0
2000-04-28,86.733002,86.733002,86.733002,86.733002,28.357656,719487.0
2000-05-01,86.733002,86.733002,86.733002,86.733002,28.357656,0.0
2000-05-02,86.412003,86.412003,86.412003,86.412003,28.252703,409080.0
2000-05-03,84.485001,84.485001,84.485001,84.485001,27.622663,267403.0
2000-05-04,83.199997,83.199997,83.199997,83.199997,27.202518,343612.0
2000-05-05,83.199997,83.199997,83.199997,83.199997,27.202518,642342.0
2000-05-08,83.199997,83.199997,83.199997,83.199997,27.202518,203850.0
2000-05-09,80.629997,80.629997,80.629997,80.629997,26.362255,333864.0
2000-05-10,80.629997,80.629997,80.629997,80.629997,26.362255,565352.0
2000-05-11,79.666,79.666,79.666,79.666,26.047073,3852725.0
2000-05-12,83.199997,83.199997,83.199997,83.199997,27.202518,389018.0
2000-05-15,84.806,84.806,84.806,84.806,27.727615,2115597.0
2000-05-16,95.406998,95.406998,95.406998,95.406998,31.193634,6155477.0
2000-05-17,95.084999,95.084999,95.084999,95.084999,31.088362,4387480.0
2000-05-18,94.764,94.764,94.764,94.764,30.9834,195524.0
2000-05-19,90.266998,90.266998,90.266998,90.266998,29.513109,619004.0
2000-05-22,90.908997,90.908997,90.908997,90.908997,29.723015,1672346.0
2000-05-23,88.338997,88.338997,88.338997,88.338997,28.882734,1215029.0
2000-05-24,88.338997,88.338997,88.338997,88.338997,28.882734,1196248.0
2000-05-25,90.266998,90.266998,90.266998,90.266998,29.513109,1245909.0
2000-05-26,90.908997,90.908997,90.908997,90.908997,29.723015,305068.0
2000-05-29,90.908997,90.908997,90.908997,90.908997,29.723015,0.0
2000-05-30,91.873001,91.873001,91.873001,91.873001,30.038191,225244.0
2000-05-31,92.836998,92.836998,92.836998,92.836998,30.353373,1158780.0
2000-06-01,100.545998,100.545998,100.545998,100.545998,32.873863,6703242.0
2000-06-02,99.261002,99.261002,99.261002,99.261002,32.45372,4609445.0
2000-06-05,96.370003,96.370003,96.370003,96.370003,31.508509,4360523.0
2000-06-06,96.692001,96.692001,96.692001,96.692001,31.613783,6619529.0
2000-06-07,95.406998,95.406998,95.406998,95.406998,31.193634,1302868.0
2000-06-08,95.406998,95.406998,95.406998,95.406998,31.193634,1952015.0
2000-06-09,96.049004,96.049004,96.049004,96.049004,31.403553,1108764.0
2000-06-12,96.049004,96.049004,96.049004,96.049004,31.403553,188814.0
2000-06-13,96.370003,96.370003,96.370003,96.370003,31.508509,2407132.0
2000-06-14,96.370003,96.370003,96.370003,96.370003,31.508509,114048.0
2000-06-15,95.084999,95.084999,95.084999,95.084999,31.088362,1059617.0
2000-06-16,94.764,94.764,94.764,94.764,30.9834,394763.0
2000-06-19,94.764,94.764,94.764,94.764,30.9834,689218.0
2000-06-20,94.764,94.764,94.764,94.764,30.9834,127974.0
2000-06-21,97.013,97.013,97.013,97.013,31.718725,2116266.0
2000-06-22,103.436996,103.436996,103.436996,103.436996,33.81908,4818416.0
2000-06-23,103.115997,103.115997,103.115997,103.115997,33.71413,2307201.0
2000-06-26,103.115997,103.115997,103.115997,103.115997,33.71413,3007069.0
2000-06-27,104.401001,104.401001,104.401001,104.401001,34.134266,2063064.0
2000-06-28,102.153,102.153,102.153,102.153,33.399265,5593451.0
2000-06-29,101.831001,101.831001,101.831001,101.831001,33.293987,1466420.0
2000-06-30,101.831001,101.831001,101.831001,101.831001,33.293987,873586.0
2000-07-03,102.794998,102.794998,102.794998,102.794998,33.609177,595017.0
2000-07-04,106.971001,106.971001,106.971001,106.971001,34.974541,840863.0
2000-07-05,110.504997,110.504997,110.504997,110.504997,36.129986,4514012.0
2000-07-06,109.541,109.541,109.541,109.541,35.814796,2281138.0
2000-07-07,107.613998,107.613998,107.613998,107.613998,35.184772,3047709.0
2000-07-10,107.613998,107.613998,107.613998,107.613998,35.184772,759512.0
2000-07-11,109.220001,109.220001,109.220001,109.220001,35.709869,1262829.0
2000-07-12,113.396004,113.396004,113.396004,113.396004,37.075207,5179702.0
2000-07-13,116.929001,116.929001,116.929001,116.929001,38.230328,6683299.0
2000-07-14,116.608002,116.608002,116.608002,116.608002,38.125393,3607781.0
2000-07-17,118.857002,118.857002,118.857002,118.857002,38.860706,2120014.0
2000-07-18,107.613998,107.613998,107.613998,107.613998,35.184772,5004798.0
2000-07-19,107.292,110.504997,95.218002,108.577003,35.499626,2355235.0
2000-07-20,114.681,114.681,114.681,114.681,37.495358,765128.0
2000-07-21,113.396004,113.396004,113.396004,113.396004,37.075207,715148.0
2000-07-24,110.182999,110.182999,110.182999,110.182999,36.024708,1524611.0
2000-07-25,107.613998,107.613998,107.613998,107.613998,35.184772,974690.0
2000-07-26,106.650002,106.650002,106.650002,106.650002,34.869579,2101328.0
2000-07-27,106.971001,106.971001,106.971001,106.971001,34.974541,3665247.0
2000-07-28,106.971001,106.971001,106.971001,106.971001,34.974541,1412285.0
2000-07-31,106.971001,106.971001,106.971001,106.971001,34.974541,125015.0
