Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1387.5,1387.5,1387.5,1387.5,747.585083,0.0
2000-01-04,1366.5,1405.5,1316.25,1352.25,728.592346,386005.0
2000-01-05,1305.0,1356.0,1305.0,1337.25,720.51062,661145.0
2000-01-06,1350.0,1380.0,1323.75,1374.75,740.715332,888135.0
2000-01-07,1380.0,1420.5,1354.5,1376.25,741.523865,639360.0
2000-01-10,1378.5,1379.25,1360.5,1375.5,741.119812,531459.0
2000-01-11,1376.25,1365.0,1326.0,1364.25,735.058167,626036.0
2000-01-12,1365.0,1387.5,1360.5,1382.25,744.756409,902552.0
2000-01-13,1372.5,1372.5,1290.0,1314.75,708.387573,147969.0
2000-01-14,1335.0,1335.0,1290.0,1321.5,712.024292,289628.0
2000-01-17,1350.0,1350.0,1275.0,1281.75,690.606934,183500.0
2000-01-18,1263.75,1263.75,1222.5,1252.5,674.847046,731983.0
2000-01-19,1237.5,1264.5,1217.25,1245.0,670.806213,1423155.0
2000-01-20,1245.75,1248.0,1192.199951,1238.25,667.169312,1741625.0
2000-01-21,1200.0,1268.25,1200.0,1232.25,663.936401,519651.0
2000-01-24,1221.0,1245.75,1215.0,1218.75,656.66272,537428.0
2000-01-25,1216.5,1216.5,1155.0,1119.0,602.917236,230538.0
2000-01-26,1152.0,1162.5,1057.5,1060.5,571.397461,785381.0
2000-01-27,1102.5,1119.0,1056.0,1077.75,580.692017,1581689.0
2000-01-28,1075.5,1088.099976,1057.5,1074.0,578.671387,921357.0
2000-01-31,1083.0,1083.0,1065.0,1077.0,580.28772,532056.0
2000-02-01,1074.0,1095.0,1069.5,1080.0,581.904175,772820.0
2000-02-02,1084.5,1084.5,1065.0,1065.0,573.822021,921494.0
2000-02-03,1050.0,1125.0,1050.0,1077.0,580.28772,1654671.0
2000-02-04,1085.25,1125.0,1075.5,1083.0,583.52063,395996.0
2000-02-07,1119.0,1131.75,1072.5,1080.0,581.904175,707126.0
2000-02-08,1080.0,1087.5,981.0,996.75,537.049011,776175.0
2000-02-09,997.5,1050.0,993.900024,1009.5,543.918701,1098699.0
2000-02-10,1017.0,1017.0,957.0,963.0,518.864685,2885317.0
2000-02-11,1050.0,1050.0,960.0,996.0,536.645081,303740.0
2000-02-14,989.099976,1053.0,978.0,1020.0,549.576233,752245.0
2000-02-15,1005.0,1020.0,1005.0,1007.25,542.706421,1314024.0
2000-02-16,1007.25,1050.75,1007.25,1050.75,566.144348,1269879.0
2000-02-17,1044.449951,1080.75,1044.449951,1068.0,575.438721,847149.0
2000-02-18,1053.75,1080.0,1053.75,1074.0,578.671387,638752.0
2000-02-21,1033.5,1140.0,1033.5,1140.0,614.2323,576368.0
2000-02-22,1156.5,1156.5,1128.0,1146.75,617.86908,1102061.0
2000-02-23,1156.5,1203.75,1152.0,1190.25,641.307007,1207455.0
2000-02-24,1178.699951,1192.5,1140.0,1144.5,616.65686,530241.0
2000-02-25,1161.0,1191.75,1136.25,1151.25,620.29364,372679.0
2000-02-28,1183.5,1183.5,1154.699951,1167.0,628.779724,802021.0
2000-02-29,1171.5,1176.0,1152.0,1156.5,623.122559,1036405.0
2000-03-01,1158.449951,1192.5,1131.0,1174.5,632.82074,457919.0
2000-03-02,1173.0,1173.0,1131.0,1158.0,623.930603,243181.0
2000-03-03,1167.0,1168.5,1093.5,1125.0,606.150085,1279081.0
2000-03-06,1162.349976,1173.75,1095.0,1145.25,617.060913,961003.0
