Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,922.5,922.5,922.5,922.5,389.897156,0.0
2000-01-04,961.5,961.5,892.5,893.25,377.534485,1051471.0
2000-01-05,887.25,927.0,886.5,906.0,382.923309,1490021.0
2000-01-06,972.0,999.0,915.0,975.0,412.086426,945545.0
2000-01-07,1027.5,1027.5,973.5,1009.5,426.667816,2175965.0
2000-01-10,1011.0,1013.25,976.5,999.0,422.22998,1151349.0
2000-01-11,995.25,1069.5,985.5,993.75,420.011078,961784.0
2000-01-12,997.5,1004.25,930.0,930.0,393.067017,1813156.0
2000-01-13,961.5,984.0,937.5,958.5,405.112579,883014.0
2000-01-14,963.0,965.25,948.0,958.5,405.112579,721957.0
2000-01-17,954.0,985.5,952.5,962.25,406.69751,650897.0
2000-01-18,921.0,999.0,921.0,990.0,418.426147,506683.0
2000-01-19,988.5,1020.0,988.5,994.5,420.328033,1321799.0
2000-01-20,996.0,1009.5,967.5,969.75,409.867371,567442.0
2000-01-21,969.0,969.0,925.5,932.25,394.017914,1607308.0
2000-01-24,771.0,954.0,771.0,928.5,392.432953,944743.0
2000-01-25,928.5,957.0,922.5,929.25,392.749969,671755.0
2000-01-26,930.0,1002.0,927.0,982.5,415.256287,1918953.0
2000-01-27,933.0,985.5,924.0,924.0,390.531036,290535.0
2000-01-28,921.0,945.0,877.5,885.0,374.047638,1022461.0
2000-01-31,879.0,888.0,856.5,867.75,366.756836,1060255.0
2000-02-01,870.450012,900.0,801.0,855.75,361.685059,1409111.0
2000-02-02,855.0,885.0,805.5,825.0,348.688416,660869.0
2000-02-03,817.5,825.0,781.5,800.25,338.227753,1675027.0
2000-02-04,813.0,825.0,766.5,772.5,326.499146,1168592.0
2000-02-07,780.0,780.0,696.0,735.0,310.64975,949872.0
2000-02-08,735.0,775.5,704.25,704.25,297.653076,1505823.0
2000-02-09,713.25,725.25,697.5,705.0,297.970062,1508464.0
2000-02-10,717.0,735.0,699.0,715.5,302.407959,2433969.0
2000-02-11,720.0,745.5,712.5,721.5,304.943939,385715.0
2000-02-14,723.75,736.5,705.0,712.5,301.139954,1600447.0
2000-02-15,750.0,750.0,707.25,719.25,303.992889,2889427.0
2000-02-16,727.5,730.5,702.0,726.75,307.162842,1910977.0
2000-02-17,710.700012,791.25,710.700012,775.5,327.76712,4119851.0
2000-02-18,784.5,856.5,784.5,805.5,340.446747,2292450.0
2000-02-21,822.0,822.0,777.0,783.0,330.937103,791274.0
2000-02-22,781.5,784.5,739.5,750.0,316.989532,628115.0
2000-02-23,750.0,776.25,735.0,757.5,320.159424,407884.0
2000-02-24,772.5,772.5,723.0,744.0,314.453552,220855.0
2000-02-25,750.0,779.25,720.0,779.25,329.352112,1289369.0
2000-02-28,774.0,810.0,762.0,792.0,334.740906,1087409.0
2000-02-29,806.25,832.5,768.75,791.25,334.42392,1827320.0
2000-03-01,802.5,849.0,796.5,827.25,349.639435,1917791.0
2000-03-02,852.0,852.0,810.0,822.0,347.420471,788913.0
2000-03-03,856.5,859.5,817.5,835.5,353.126312,1038987.0
2000-03-06,892.5,892.5,835.5,866.25,366.122803,1537622.0
2000-03-07,869.25,874.5,810.0,824.25,348.37146,1582017.0
2000-03-08,855.0,855.0,795.0,832.5,351.858307,582075.0
2000-03-09,852.0,853.5,813.0,817.5,345.518555,554573.0
2000-03-10,786.0,844.5,786.0,787.5,332.838959,944338.0
2000-03-13,780.0,852.0,776.25,796.5,336.642914,593361.0
2000-03-14,802.5,802.5,750.0,759.0,320.793427,764903.0
2000-03-15,759.0,795.0,720.0,787.5,332.838959,1161396.0
2000-03-16,757.5,885.0,757.5,840.0,355.028198,1070068.0
2000-03-17,882.0,889.200012,799.5,826.5,349.32251,1405587.0
2000-03-20,826.5,937.5,810.0,837.0,353.760254,1172297.0
2000-03-21,838.200012,873.0,825.0,870.0,367.707916,1036145.0
2000-03-22,882.0,889.5,817.5,825.0,348.688416,556478.0
2000-03-23,842.25,862.5,820.5,831.0,351.224274,1001058.0
2000-03-24,835.5,877.5,821.25,837.0,353.760254,1116313.0
2000-03-27,825.0,877.5,825.0,849.0,358.832001,512411.0
