Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,642.299988,642.299988,642.299988,642.299988,219.227921,0.0
2000-01-04,641.0,645.0,605.0,620.0,211.616547,596225.0
2000-01-05,587.5,632.0,587.5,629.0,214.688431,1364592.0
2000-01-06,641.0,668.0,630.0,653.5,223.05069,1645837.0
2000-01-07,655.0,668.0,641.0,665.0,226.975723,1805402.0
2000-01-10,660.0,679.0,648.5,676.0,230.730255,2835977.0
2000-01-11,673.5,687.0,670.0,680.0,232.095551,2634337.0
2000-01-12,677.0,706.75,675.0,689.5,235.338104,3832581.0
2000-01-13,690.0,699.0,683.0,692.0,236.191406,1970653.0
2000-01-14,686.5,700.0,670.0,674.0,230.047714,2407232.0
2000-01-17,684.119995,684.119995,647.0,656.5,224.07457,1138072.0
2000-01-18,634.5,656.0,632.25,652.5,222.709305,2334234.0
2000-01-19,658.0,668.5,645.0,659.5,225.098526,2589458.0
2000-01-20,648.5,668.0,616.0,623.5,212.811127,1934363.0
2000-01-21,615.5,633.0,590.0,622.0,212.299133,840458.0
2000-01-24,698.0,698.0,632.0,645.5,220.320145,1705033.0
2000-01-25,648.0,661.0,640.0,643.0,219.466827,2468458.0
2000-01-26,621.5,664.0,621.5,661.5,225.781189,2642000.0
2000-01-27,668.0,668.0,655.0,655.0,223.562653,1953613.0
2000-01-28,647.0,657.5,622.0,630.0,215.029663,1046980.0
2000-01-31,630.0,630.0,590.5,596.0,203.424896,765475.0
2000-02-01,618.0,618.0,590.0,600.0,204.790161,1980420.0
2000-02-02,565.400024,565.400024,565.400024,565.400024,192.980637,2208788.0
2000-02-03,570.0,574.0,555.0,558.0,190.45491,484200.0
2000-02-04,571.0,573.0,525.0,530.5,181.068604,1215557.0
2000-02-07,568.0,570.0,540.0,550.0,187.72438,2012382.0
2000-02-08,550.0,570.0,540.5,558.0,190.45491,1491042.0
2000-02-09,558.0,590.0,542.0,563.5,192.332108,1938748.0
2000-02-10,567.0,570.0,543.0,553.0,188.748306,1392161.0
2000-02-11,559.5,583.0,533.0,541.5,184.823166,1734678.0
2000-02-14,555.0,561.0,490.0,540.0,184.311188,1176833.0
2000-02-15,551.0,580.0,537.0,554.0,189.0896,1994333.0
2000-02-16,554.0,609.0,553.0,583.0,198.987854,3911877.0
2000-02-17,600.5,637.5,590.0,615.5,210.080597,1057841.0
2000-02-18,604.0,645.5,600.0,605.0,206.49678,2346149.0
2000-02-21,579.0,639.5,577.0,633.0,216.05368,1368499.0
2000-02-22,604.5,646.0,597.5,599.0,204.448853,1696469.0
2000-02-23,599.0,615.0,597.0,610.0,208.203354,1488742.0
2000-02-24,604.0,618.0,558.0,599.5,204.619522,1720079.0
2000-02-25,593.440002,650.0,592.5,622.5,212.469864,2330027.0
2000-02-28,640.0,661.0,602.5,644.5,219.978745,1334574.0
2000-02-29,637.5,663.0,637.5,654.5,223.391953,2459877.0
2000-03-01,657.140015,704.5,627.0,668.5,228.17041,2535937.0
2000-03-02,660.0,668.5,627.0,649.5,221.685379,1656297.0
2000-03-03,644.0,650.75,627.5,634.5,216.565628,850153.0
2000-03-06,624.0,650.0,620.0,625.5,213.493759,1810558.0
2000-03-07,650.0,650.0,616.0,618.5,211.104584,2541440.0
2000-03-08,618.25,634.5,589.5,599.5,204.619522,1147256.0
2000-03-09,648.0,649.5,595.0,598.0,204.107544,563913.0
2000-03-10,579.0,597.5,542.0,570.0,194.550674,1447133.0
2000-03-13,564.0,616.75,542.0,567.5,193.697372,1790595.0
2000-03-14,570.0,609.0,570.0,578.0,197.281235,1635023.0
2000-03-15,585.0,619.25,570.0,609.0,207.862122,1142109.0
2000-03-16,580.0,660.0,580.0,644.5,219.978745,2409358.0
2000-03-17,690.0,690.0,643.0,653.0,222.879959,2604768.0
2000-03-20,653.0,675.0,584.0,623.0,212.640488,1185520.0
2000-03-21,622.5,684.5,600.0,660.5,225.439896,1441183.0
2000-03-22,681.0,682.5,635.0,651.5,222.368042,1180445.0
2000-03-23,666.75,670.0,629.0,641.5,218.954865,1186196.0
2000-03-24,667.5,679.5,620.0,678.0,231.412918,1025925.0
2000-03-27,685.0,686.5,652.0,668.0,227.999741,1660657.0
2000-03-28,698.0,706.0,652.0,695.0,237.215271,1464870.0
2000-03-29,695.0,726.5,654.0,702.5,239.775162,959502.0
2000-03-30,680.0,690.0,630.0,666.5,227.487823,4079614.0
2000-03-31,650.0,670.0,640.0,655.0,223.562653,2384466.0
2000-04-03,655.0,685.0,635.0,683.0,233.119522,1610447.0
2000-04-04,684.5,700.0,654.0,681.5,232.607498,3095109.0
2000-04-05,684.5,696.75,667.0,678.0,231.412918,1672506.0
2000-04-06,683.22998,715.0,634.0,700.0,238.92186,2036018.0
2000-04-07,698.5,715.0,670.0,693.5,236.703278,1223082.0
2000-04-10,688.929993,720.0,687.5,708.5,241.823059,1795346.0
2000-04-11,702.5,729.5,698.0,710.0,242.334991,1276417.0
2000-04-12,706.0,718.0,695.0,704.0,240.287048,2446283.0
2000-04-13,697.0,720.0,697.0,703.5,240.116531,1397752.0
2000-04-14,701.75,719.5,675.0,700.5,239.092484,1547925.0
2000-04-17,659.0,717.0,659.0,690.5,235.679367,2368079.0
2000-04-18,706.0,706.0,684.0,689.5,235.338104,1327495.0
2000-04-19,691.5,695.0,650.0,659.5,225.098526,2317344.0
2000-04-20,670.0,670.0,635.0,650.0,221.856094,950069.0
2000-04-21,648.799988,648.799988,648.799988,648.799988,221.446503,0.0
2000-04-24,648.799988,648.799988,648.799988,648.799988,221.446503,0.0
2000-04-25,656.0,656.0,627.5,640.0,218.442886,1359882.0
2000-04-26,648.0,648.0,626.5,631.0,215.370972,867662.0
2000-04-27,632.590027,659.5,615.0,621.0,211.957825,731023.0
2000-04-28,637.659973,656.0,610.5,615.0,209.909943,1734114.0
2000-05-01,613.799988,613.799988,613.799988,613.799988,209.500351,0.0
2000-05-02,628.0,660.0,622.5,648.5,221.344055,2543815.0
2000-05-03,644.0,659.0,625.0,630.0,215.029663,1198647.0
2000-05-04,626.0,642.0,618.5,637.0,217.4189,382070.0
2000-05-05,632.369995,637.5,612.0,615.0,209.909943,507564.0
2000-05-08,627.26001,641.0,612.0,629.5,214.859009,812270.0
2000-05-09,643.0,643.0,588.5,600.5,204.960938,2051393.0
2000-05-10,615.25,636.0,604.0,619.5,211.445862,1030513.0
2000-05-11,626.0,650.0,614.0,645.5,220.320145,4502808.0
2000-05-12,678.0,678.0,632.0,639.0,218.101563,1224703.0
2000-05-15,640.0,658.5,627.0,632.5,215.883026,611474.0
2000-05-16,650.0,650.0,620.0,630.0,215.029663,1632495.0
2000-05-17,633.0,645.5,626.0,635.0,216.736282,2014867.0
2000-05-18,634.5,656.5,630.0,639.0,218.101563,2032296.0
2000-05-19,638.0,645.0,625.25,630.5,215.200333,3054317.0
2000-05-22,630.0,637.0,625.5,630.0,215.029663,2580262.0
2000-05-23,630.5,648.0,628.5,629.0,214.688431,3039591.0
2000-05-24,633.0,636.5,626.5,634.5,216.565628,4794213.0
2000-05-25,639.0,661.5,639.0,651.0,222.197418,3729376.0
2000-05-26,656.0,656.0,644.0,654.5,223.391953,7775883.0
2000-05-29,653.299988,653.299988,653.299988,653.299988,222.982346,0.0
2000-05-30,650.0,665.0,650.0,650.0,221.856094,1265472.0
2000-05-31,631.0,631.0,631.0,631.0,215.370972,998967.0
2000-06-01,640.0,640.0,640.0,640.0,218.442886,4673999.0
2000-06-02,657.0,657.0,657.0,657.0,224.24527,1762840.0
2000-06-05,644.0,652.299988,640.75,644.0,230.509125,1757624.0
2000-06-06,647.5,658.5,642.0,645.0,230.867004,2317990.0
2000-06-07,648.0,650.0,631.5,645.0,230.867004,1654777.0
2000-06-08,638.0,645.0,633.0,643.0,230.151123,1540544.0
2000-06-09,643.0,660.0,642.0,660.0,236.236069,1712903.0
2000-06-12,644.0,663.0,644.0,658.5,235.699081,573137.0
2000-06-13,658.5,698.700012,654.0,698.700012,250.088089,2112869.0
2000-06-14,688.0,695.0,652.0,688.700012,246.508743,1366693.0
2000-06-15,684.0,729.5,680.0,698.0,249.837433,1402223.0
2000-06-16,674.0,713.0,674.0,700.0,250.553391,1218261.0
2000-06-19,702.0,702.0,666.0,700.0,250.553391,1579687.0
2000-06-20,690.0,693.0,672.0,680.0,243.394684,1193516.0
2000-06-21,670.0,682.0,652.0,675.0,241.605026,1151205.0
2000-06-22,676.0,676.0,650.0,650.0,232.656738,2085439.0
2000-06-23,653.0,665.0,650.0,665.0,238.025757,1519499.0
2000-06-26,662.5,665.0,650.0,661.0,236.593887,785604.0
2000-06-27,663.0,668.0,659.0,662.0,236.951874,4862136.0
2000-06-28,687.5,687.5,652.0,654.0,234.088531,850918.0
2000-06-29,653.5,664.0,645.0,645.0,230.867004,1177333.0
2000-06-30,653.0,670.0,648.0,654.0,234.088531,756618.0
2000-07-03,654.0,676.0,634.0,676.0,241.962967,649100.0
2000-07-04,678.25,690.0,650.0,689.5,246.79509,903001.0
2000-07-05,698.0,698.5,665.0,674.0,241.247131,3023361.0
